season,week,date,away_team,home_team,elo_diff_pre_game,p_home,predicted_winner,model_probability,actual_home_score,actual_away_score,actual_winner,correct
2016,5,2016-10-09,PHI,DET,-72.53,0.4462,PHI,0.5538,24,23,DET,0
2016,5,2016-10-09,CHI,IND,91.04,0.6738,IND,0.6738,29,23,IND,1
2016,5,2016-10-09,TEN,MIA,145.98,0.7392,MIA,0.7392,17,30,TEN,0
2016,5,2016-10-09,HOU,MIN,47.59,0.6167,MIN,0.6167,31,13,MIN,1
2016,5,2016-10-09,NYJ,PIT,216.86,0.81,PIT,0.81,31,13,PIT,1
2016,5,2016-10-09,ATL,DEN,188.86,0.7839,DEN,0.7839,16,23,ATL,0
2016,5,2016-10-09,CIN,DAL,-116.63,0.3846,CIN,0.6154,28,14,DAL,0
2016,5,2016-10-09,BUF,LAR,-117.05,0.3841,BUF,0.6159,19,30,BUF,1
2016,5,2016-10-09,LAC,LV,-148.4,0.3424,LAC,0.6576,34,31,LV,0
2016,5,2016-10-10,NYG,GB,184.91,0.78,GB,0.78,23,16,GB,1
2016,5,2016-10-11,TB,CAR,277.85,0.8583,CAR,0.8583,14,17,TB,0
2016,6,2016-10-14,DEN,LAC,-232.82,0.2426,DEN,0.7574,21,13,LAC,0
2016,6,2016-10-16,SF,BUF,70.87,0.6478,BUF,0.6478,45,16,BUF,1
2016,6,2016-10-16,JAX,CHI,124.7,0.7149,CHI,0.7149,16,17,JAX,0
2016,6,2016-10-16,LAR,DET,87.48,0.6693,DET,0.6693,31,28,DET,1
2016,6,2016-10-16,PIT,MIA,-251.06,0.2238,PIT,0.7762,30,15,MIA,0
2016,6,2016-10-16,CIN,NE,160.72,0.7552,NE,0.7552,35,17,NE,1
2016,6,2016-10-16,CAR,NO,-113.33,0.3891,CAR,0.6109,41,38,NO,0
2016,6,2016-10-16,BAL,NYG,-84.01,0.4299,BAL,0.5701,27,23,NYG,0
2016,6,2016-10-16,CLE,TEN,9.28,0.5634,TEN,0.5634,28,26,TEN,1
2016,6,2016-10-16,PHI,WAS,-130.42,0.366,PHI,0.634,27,20,WAS,0
2016,6,2016-10-16,KC,LV,-246.32,0.2286,KC,0.7714,10,26,KC,1
2016,6,2016-10-16,DAL,GB,117.92,0.7069,GB,0.7069,16,30,DAL,0
2016,6,2016-10-16,ATL,SEA,186.67,0.7818,SEA,0.7818,26,24,SEA,1
2016,6,2016-10-17,IND,HOU,3.48,0.5551,HOU,0.5551,26,23,HOU,1
2016,6,2016-10-18,NYJ,ARI,158.01,0.7523,ARI,0.7523,28,3,ARI,1
2016,7,2016-10-21,CHI,GB,232.05,0.8231,GB,0.8231,26,10,GB,1
2016,7,2016-10-23,NYG,LAR,-75.78,0.4416,NYG,0.5584,10,17,NYG,1
2016,7,2016-10-23,CLE,CIN,317.27,0.8837,CIN,0.8837,31,17,CIN,1
2016,7,2016-10-23,WAS,DET,60.04,0.6335,DET,0.6335,20,17,DET,1
2016,7,2016-10-23,LV,JAX,-33.56,0.5021,JAX,0.5021,16,33,LV,0
2016,7,2016-10-23,NO,KC,85.96,0.6674,KC,0.6674,27,21,KC,1
2016,7,2016-10-23,BUF,MIA,-99.32,0.4085,BUF,0.5915,28,25,MIA,0
2016,7,2016-10-23,BAL,NYJ,-96.57,0.4123,BAL,0.5877,24,16,NYJ,0
2016,7,2016-10-23,MIN,PHI,-45.32,0.4851,MIN,0.5149,21,10,PHI,0
2016,7,2016-10-23,IND,TEN,-189.55,0.2912,IND,0.7088,26,34,IND,1
2016,7,2016-10-23,LAC,ATL,52.67,0.6236,ATL,0.6236,30,33,LAC,0
2016,7,2016-10-23,TB,SF,104.91,0.6911,SF,0.6911,17,34,TB,0
2016,7,2016-10-23,NE,PIT,-129.96,0.3666,NE,0.6334,16,27,NE,1
2016,7,2016-10-24,SEA,ARI,-102.31,0.4043,SEA,0.5957,6,6,TIE,1
2016,7,2016-10-25,HOU,DEN,166.84,0.7617,DEN,0.7617,27,9,DEN,1
2016,8,2016-10-28,JAX,TEN,35.39,0.5999,TEN,0.5999,36,22,TEN,1
2016,8,2016-10-30,WAS,CIN,194.56,0.7894,CIN,0.7894,27,27,TIE,0
2016,8,2016-10-30,NE,BUF,-259.85,0.2151,NE,0.7849,25,41,NE,1
2016,8,2016-10-30,ARI,CAR,-21.07,0.52,CAR,0.52,30,20,CAR,1
2016,8,2016-10-30,NYJ,CLE,-156.53,0.3319,NYJ,0.6681,28,31,NYJ,1
2016,8,2016-10-30,DET,HOU,21.16,0.5801,HOU,0.5801,20,13,HOU,1
2016,8,2016-10-30,KC,IND,-75.9,0.4414,KC,0.5586,14,30,KC,1
2016,8,2016-10-30,SEA,NO,-228.55,0.2471,SEA,0.7529,25,20,NO,0
2016,8,2016-10-30,LV,TB,19.27,0.5775,TB,0.5775,24,30,LV,0
2016,8,2016-10-30,LAC,DEN,208.8,0.8027,DEN,0.8027,27,19,DEN,1
2016,8,2016-10-30,GB,ATL,-118.6,0.382,GB,0.618,33,32,ATL,0
2016,8,2016-10-31,PHI,DAL,2.31,0.5535,DAL,0.5535,29,23,DAL,1
2016,8,2016-11-01,MIN,CHI,-171.16,0.3135,MIN,0.6865,20,10,CHI,0
2016,9,2016-11-04,ATL,TB,-177.72,0.3054,ATL,0.6946,28,43,ATL,1
2016,9,2016-11-06,PIT,BAL,-122.99,0.376,PIT,0.624,21,14,BAL,0
2016,9,2016-11-06,DAL,CLE,-265.43,0.2097,DAL,0.7903,10,35,DAL,1
2016,9,2016-11-06,JAX,KC,332.01,0.8921,KC,0.8921,19,14,KC,1
2016,9,2016-11-06,NYJ,MIA,-5.78,0.5419,MIA,0.5419,27,23,MIA,1
